	Temperature	Rain	Zipcode	Count	Month	Hour	Weekday
167	44.0	0.0	10002	2765	1	1	4
168	44.0	0.0	10003	511	1	1	4
169	44.0	0.0	10007	211	1	1	4
170	44.0	0.0	10009	1277	1	1	4
171	44.0	0.0	10010	3183	1	1	4
172	44.0	0.0	10011	601	1	1	4
173	44.0	0.0	10012	604	1	1	4
174	44.0	0.0	10013	410	1	1	4
175	44.0	0.0	10014	3	1	1	4
176	44.0	0.0	10016	534	1	1	4
177	44.0	0.0	10017	1082	1	1	4
178	44.0	0.0	10018	34	1	1	4
179	44.0	0.0	10019	63	1	1	4
180	44.0	0.0	10020	614	1	1	4
181	44.0	0.0	10021	441	1	1	4
182	44.0	0.0	10022	681	1	1	4
183	44.0	0.0	10023	733	1	1	4
184	44.0	0.0	10024	733	1	1	4
185	44.0	0.0	10025	699	1	1	4
186	44.0	0.0	10026	291	1	1	4
187	44.0	0.0	10027	230	1	1	4
188	44.0	0.0	10028	82	1	1	4
189	44.0	0.0	10029	643	1	1	4
190	44.0	0.0	10030	167	1	1	4
191	44.0	0.0	10031	259	1	1	4
192	44.0	0.0	10032	19	1	1	4
193	44.0	0.0	10033	76	1	1	4
194	44.0	0.0	10034	8	1	1	4
195	44.0	0.0	10035	486	1	1	4
196	44.0	0.0	10036	568	1	1	4
197	44.0	0.0	10037	150	1	1	4
198	44.0	0.0	10038	702	1	1	4
199	44.0	0.0	10040	83	1	1	4
200	44.0	0.0	10044	1671	1	1	4
201	44.0	0.0	10065	1235	1	1	4
202	44.0	0.0	10075	1289	1	1	4
203	44.0	0.0	10128	466	1	1	4
204	44.0	0.0	10301	1	1	1	4
205	44.0	0.0	10303	1	1	1	4
206	44.0	0.0	10451	149	1	1	4
207	44.0	0.0	10452	162	1	1	4
208	44.0	0.0	10453	45	1	1	4
209	44.0	0.0	10454	63	1	1	4
210	44.0	0.0	10455	42	1	1	4
211	44.0	0.0	10456	113	1	1	4
212	44.0	0.0	10457	69	1	1	4
213	44.0	0.0	10458	33	1	1	4
214	44.0	0.0	10459	21	1	1	4
215	44.0	0.0	10460	31	1	1	4
216	44.0	0.0	10461	8	1	1	4
217	44.0	0.0	10462	28	1	1	4
218	44.0	0.0	10463	14	1	1	4
219	44.0	0.0	10464	1	1	1	4
220	44.0	0.0	10465	5	1	1	4
221	44.0	0.0	10466	4	1	1	4
222	44.0	0.0	10467	30	1	1	4
223	44.0	0.0	10468	49	1	1	4
